condition,algorithm,ae,wur,coverage,cf_transitions
clean,oracle_upper,0.0,0.17804678672704305,1.0,0.0
symmetric,immediate,0.36374578686270514,0.22356525796564494,0.6888888888888889,0.0
symmetric,pe_seq,0.4593896164573906,0.4959003959395594,1.0,0.0
symmetric,cf_only,0.0,0.17804678672704305,1.0,387.74444444444447
symmetric,full_rfl,0.19965276120166425,0.3283784374360914,1.0,91.88888888888889
symmetric,oracle_upper,0.0,0.17804678672704305,1.0,0.0
clean,immediate,0.17039516996169607,0.008118007467796663,0.6666666666666666,0.0
clean,pe_seq,0.39085433090681276,0.4510016880369876,1.0,0.0
clean,cf_only,0.0,0.17756679043603998,1.0,387.5
clean,full_rfl,0.1864823192575553,0.33013074167841,1.0,94.33333333333333
clean,oracle_upper,0.0,0.17756679043603998,1.0,0.0
symmetric,immediate,0.4963329964863795,0.3688437818026223,0.6555555555555556,0.0
symmetric,pe_seq,0.4582603234847924,0.5008570276201871,1.0,0.0
symmetric,cf_only,0.0,0.17756679043603998,1.0,387.5
symmetric,full_rfl,0.20104438933921626,0.3242829349636623,1.0,88.71111111111111
symmetric,oracle_upper,0.0,0.17756679043603998,1.0,0.0
clean,immediate,0.1688235044962293,0.005843799927201204,0.6666666666666666,0.0
clean,pe_seq,0.38944364855238106,0.44781776909777654,1.0,0.0
clean,cf_only,0.0,0.1752684156552637,1.0,388.24444444444447
clean,full_rfl,0.1869341268053015,0.3281501819287753,1.0,94.58888888888889
clean,oracle_upper,0.0,0.1752684156552637,1.0,0.0
symmetric,immediate,0.4728702543073431,0.4037899443975975,0.7333333333333333,0.0
symmetric,pe_seq,0.4588540474298389,0.5004647194727124,1.0,0.0
symmetric,cf_only,0.0,0.1752684156552637,1.0,388.24444444444447
symmetric,full_rfl,0.19671567340342974,0.3262253568116899,1.0,95.15555555555555
symmetric,oracle_upper,0.0,0.1752684156552637,1.0,0.0
clean,immediate,0.16936730693278956,0.006574477892298924,0.6666666666666666,0.0
clean,pe_seq,0.38887750652014896,0.44791566409327227,1.0,0.0
clean,cf_only,0.0,0.17606196601937654,1.0,387.5
clean,full_rfl,0.18584868344491556,0.3247521045391226,1.0,91.53333333333333
clean,oracle_upper,0.0,0.17606196601937654,1.0,0.0
symmetric,immediate,0.4507097240623591,0.34147891006535025,0.6888888888888889,0.0
symmetric,pe_seq,0.4504956997915619,0.4878107999409573,1.0,0.0
symmetric,cf_only,0.0,0.17606196601937654,1.0,387.5
symmetric,full_rfl,0.19957037345726467,0.32482357288451075,1.0,93.68888888888888
symmetric,oracle_upper,0.0,0.17606196601937654,1.0,0.0
clean,immediate,0.16984486043424477,0.00737583383422436,0.6666666666666666,0.0
clean,pe_seq,0.3882900848754914,0.44843221240648373,1.0,0.0
clean,cf_only,0.0,0.1772355728242127,1.0,388.74444444444447
clean,full_rfl,0.18685149182691635,0.3291413656761856,1.0,94.58888888888889
clean,oracle_upper,0.0,0.1772355728242127,1.0,0.0
symmetric,immediate,0.4357544239224775,0.29355614585939904,0.6555555555555556,0.0
symmetric,pe_seq,0.45300288105205294,0.5020767680454755,1.0,0.0
symmetric,cf_only,0.0,0.1772355728242127,1.0,388.74444444444447
symmetric,full_rfl,0.19955820009154365,0.32690741428991693,1.0,94.5111111111111
symmetric,oracle_upper,0.0,0.1772355728242127,1.0,0.0
clean,immediate,0.17043894246572544,0.008182798707771744,0.6666666666666666,0.0
clean,pe_seq,0.3891862708411673,0.4498653646324536,1.0,0.0
clean,cf_only,0.0,0.17807075960194538,1.0,387.74444444444447
clean,full_rfl,0.1871462642513251,0.3278780460038881,1.0,93.35555555555555
clean,oracle_upper,0.0,0.17807075960194538,1.0,0.0
symmetric,immediate,0.3852508196655282,0.27329746402329164,0.7222222222222222,0.0
symmetric,pe_seq,0.4678570535534859,0.5081822963396676,1.0,0.0
symmetric,cf_only,0.0,0.17807075960194538,1.0,387.74444444444447
symmetric,full_rfl,0.19576485206610322,0.3231418868342932,1.0,89.03333333333333
symmetric,oracle_upper,0.0,0.17807075960194538,1.0,0.0
clean,immediate,0.17064031190068596,0.008484852860212517,0.6666666666666666,0.0
clean,pe_seq,0.3915136279539943,0.4517663721917585,1.0,0.0
clean,cf_only,0.0,0.17793033602290265,1.0,386.73333333333335
clean,full_rfl,0.18606492089341534,0.328310651959579,1.0,93.1
clean,oracle_upper,0.0,0.17793033602290265,1.0,0.0
symmetric,immediate,0.4668660817339344,0.35596494197750894,0.6444444444444445,0.0
symmetric,pe_seq,0.4525136549219943,0.4928162827252888,1.0,0.0
symmetric,cf_only,0.0,0.17793033602290265,1.0,386.73333333333335
symmetric,full_rfl,0.19163446108451376,0.3240572961247176,1.0,90.84444444444445
symmetric,oracle_upper,0.0,0.17793033602290265,1.0,0.0
clean,immediate,0.16875819351850246,0.005661675286937257,0.6666666666666666,0.0
clean,pe_seq,0.38926253428920593,0.44716363605262277,1.0,0.0
clean,cf_only,0.0,0.17497842599600924,1.0,388.0
clean,full_rfl,0.18664702008669445,0.3263075054761824,1.0,92.76666666666667
clean,oracle_upper,0.0,0.17497842599600924,1.0,0.0
symmetric,immediate,0.5332570817775688,0.4245338852063025,0.6444444444444445,0.0
symmetric,pe_seq,0.45872239655612307,0.4989046874922249,1.0,0.0
